ProjectID,Domain,PlannedStartDate,PlannedDurationDays,PlannedCost,TeamSize,Complexity,RiskLevel,NumChangeRequests,SprintVelocity,EarlyMilestonesPct,TechnicalDebtScore,ResourceUtilizationPct,ActualDurationDays,DelayDays,ActualCost,CostOverrunPct,CustomerSatisfaction,ProjectSuccess,PlannedEndDate,ActualEndDate,OnTime,MajorDelayFlag,CostOverrunBucket
PJT1954,Mobile App,2019-05-13,63,34421,6,4,Medium,7,42.6,0.432,6.9,0.758,82,19,45873,0.3327,7.65,0,2019-07-15,2019-08-03,0,1,25-50%
PJT8032,Data Engineering,2020-09-28,172,36598,7,3,High,3,46.0,0.52,5.65,0.743,171,-1,37162,0.0154,6.18,0,2021-03-19,2021-03-18,1,0,<10%
PJT2930,Infrastructure,2019-11-29,338,75224,7,3,Medium,6,39.7,0.883,5.45,0.954,361,23,73539,-0.0224,7.42,0,2020-11-01,2020-11-24,0,0,Under/OnBudget
PJT7989,AI/ML,2018-04-29,260,153405,3,5,Medium,6,81.9,0.329,5.11,0.901,344,84,230138,0.5002,7.07,0,2019-01-14,2019-04-08,0,1,>50%
PJT9475,Web App,2018-07-26,300,295464,6,2,High,4,40.3,0.675,7.26,0.772,346,46,354852,0.201,6.95,0,2019-05-22,2019-07-07,0,0,10-25%
PJT9998,Web App,2020-12-24,224,37654,5,2,High,6,36.7,0.394,6.59,0.866,261,37,44981,0.1946,7.41,0,2021-08-05,2021-09-11,0,0,10-25%
PJT8779,Web App,2019-04-25,240,591979,9,3,Medium,9,46.9,0.69,5.92,0.786,307,67,808584,0.3659,7.11,0,2019-12-21,2020-02-26,0,1,25-50%
PJT6130,Internal Tool,2020-01-12,324,71300,6,5,Medium,6,59.6,0.724,8.46,0.647,374,50,86694,0.2159,7.2,0,2020-12-01,2021-01-20,0,0,10-25%
PJT7585,AI/ML,2021-01-24,78,96217,6,3,Medium,4,34.1,0.414,9.46,0.361,104,26,146144,0.5189,6.67,0,2021-04-12,2021-05-08,0,1,>50%
PJT3676,Infrastructure,2021-01-01,152,40269,3,1,High,6,42.8,0.543,5.65,0.869,170,18,45685,0.1345,9.74,1,2021-06-02,2021-06-20,0,0,10-25%
PJT4571,Web App,2018-09-01,71,5383,6,3,Medium,7,60.0,0.314,6.65,0.702,78,7,6037,0.1215,7.92,0,2018-11-11,2018-11-18,0,0,10-25%
PJT4759,Data Engineering,2018-05-24,412,285174,3,3,Low,4,60.8,0.181,7.31,0.732,444,32,326695,0.1456,6.39,0,2019-07-10,2019-08-11,0,0,10-25%
PJT6121,Internal Tool,2020-05-13,383,238999,4,2,High,3,48.3,0.806,7.23,0.703,510,127,340669,0.4254,7.69,0,2021-05-31,2021-10-05,0,1,25-50%
PJT4786,Web App,2020-12-18,35,70432,3,3,Medium,4,81.3,0.506,5.87,0.401,41,6,88561,0.2574,6.91,0,2021-01-22,2021-01-28,0,0,25-50%
PJT1941,Web App,2018-08-06,246,106979,7,5,Low,5,74.7,0.887,6.41,0.473,261,15,121999,0.1404,7.82,0,2019-04-09,2019-04-24,0,0,10-25%
PJT9231,Web App,2019-06-28,371,183345,4,3,Medium,3,23.9,0.682,5.35,0.736,351,-20,177991,-0.0292,7.7,0,2020-07-03,2020-06-13,1,0,Under/OnBudget
PJT2338,Mobile App,2021-06-24,62,15138,5,3,Medium,5,19.6,0.769,8.53,0.566,66,4,14747,-0.0258,8.16,1,2021-08-25,2021-08-29,0,0,Under/OnBudget
PJT5652,AI/ML,2021-10-10,183,52320,9,3,High,3,56.9,0.869,7.17,0.685,233,50,75984,0.4523,7.19,0,2022-04-11,2022-05-31,0,1,25-50%
PJT2321,Mobile App,2019-10-25,365,256047,4,2,Low,5,65.5,0.563,8.79,0.837,448,83,333578,0.3028,8.85,1,2020-10-24,2021-01-15,0,0,25-50%
PJT2654,Mobile App,2018-04-27,34,21913,6,4,High,5,41.6,0.719,2.55,0.779,46,12,32817,0.4976,6.97,0,2018-05-31,2018-06-12,0,1,25-50%
PJT4068,AI/ML,2019-01-12,242,140403,5,3,Medium,5,37.5,0.737,6.48,0.792,302,60,187424,0.3349,7.22,0,2019-09-11,2019-11-10,0,0,25-50%
PJT5738,Web App,2018-12-07,90,19382,2,3,Low,6,32.7,0.544,6.95,0.903,108,18,23051,0.1893,8.64,1,2019-03-07,2019-03-25,0,0,10-25%
PJT7593,Mobile App,2018-12-15,370,172770,8,3,High,6,27.5,0.545,3.88,0.981,473,103,236315,0.3678,6.23,0,2019-12-20,2020-04-01,0,1,25-50%
PJT9586,Mobile App,2019-12-23,401,94583,3,3,Medium,6,62.0,0.213,3.24,0.503,485,84,120035,0.2691,7.32,0,2021-01-27,2021-04-21,0,0,25-50%
PJT1791,Mobile App,2020-05-01,383,14212,5,3,Low,5,39.3,0.704,4.58,0.479,429,46,16990,0.1955,7.73,0,2021-05-19,2021-07-04,0,0,10-25%
PJT7676,Infrastructure,2018-06-28,146,399387,6,1,Medium,7,49.5,0.649,3.75,0.815,152,6,440085,0.1019,9.02,1,2018-11-21,2018-11-27,0,0,10-25%
PJT1743,Web App,2021-07-22,332,40884,6,4,High,3,17.6,0.689,6.04,0.662,453,121,57732,0.4121,6.31,0,2022-06-19,2022-10-18,0,1,25-50%
PJT7524,AI/ML,2020-06-24,322,37335,7,5,Medium,5,60.0,0.658,8.68,0.853,415,93,54016,0.4468,6.56,0,2021-05-12,2021-08-13,0,1,25-50%
